text	tekst		n. 文本, 正文, 课文, 主题, 圣经文句, 乐谱\n[计] 电文; 文本; 正文	zk gk ielts	bnc:1002	s:texts
path	pɑ:θ		n. 路径, 小路, 道路, 途径, 路线, 轨道\n[计] 路径; DOS内部命令:设定DOS读取程序的路径	zk gk cet4 cet6 ky toefl	bnc:1266	s:paths
user	'ju:zә		n. 使用者\n[计] 用户	gk cet4 cet6	bnc:806	s:users
request	ri'kwest		n. 请求, 需要, 申请书\nvt. 请求, 要求, 邀请\n[计] 请求	gk cet4 cet6 ky toefl ielts gre	bnc:1821	s:requests/d:requested/i:requesting/p:requested/3:requests
constant	'kɒnstәnt		n. 常数, 恒量\na. 不变的, 一定的, 时常的\n[计] 常量; 常数; 恒值	gk cet4 cet6 ky toefl ielts gre	bnc:1915	s:constants
select	si'lekt		a. 挑选出来的, 极好的\nv. 选择, 挑选\nn. 被挑选者, 精萃\n[计] 选定	gk cet4 cet6 ky toefl	bnc:1614	d:selected/i:selecting/3:selects/p:selected
selection	si'lekʃәn		n. 选择, 选文, 精选品\n[医] 选择, 淘汰	cet4 cet6 ky toefl ielts	bnc:1511	s:selections
error	'erә		n. 错误, 过失, 失误, 误差\n[计] 错误	gk cet4 cet6 ky toefl	bnc:1595	s:errors
warning	'wɒ:niŋ		n. 警告, 预告, 预兆, 通知\n[法] 警告, 警戒, 预告; 警告的, 注意的	gk cet6	bnc:1911	0:warn/1:i/s:warnings/i:warning
string	striŋ		n. 线, 细绳, 一串, 字符串\nvt. 串起, 成串, 收紧, 缚, 扎\nvi. 成一串\n[计] 字符串, 串	gk cet4 cet6 ky toefl ielts	bnc:2170	s:strings/d:strung/i:stringing/3:strings/p:strung
false	fɒ:ls		a. 错误的, 虚伪的, 假的, 不老实的\nadv. 不准确地, 欺诈地	gk cet4 cet6 ky	bnc:2370	
load	lәud		n. 负荷, 担子, 重担, 装载量, 负载, 工作量, 加载\nvt. 装载, 装填, 使担负\nvi. 装货, 上客, 装料\n[计] 加载, 装入程序	gk cet4 cet6 ky toefl	bnc:2212	s:loads/d:loaded/i:loading/p:loaded/3:loads
button	'bʌtәn		n. 钮扣, 按钮\nvi. 扣住\nvt. 钉钮扣于, 扣紧\n[计] 按钮	gk cet4 cet6 ky	bnc:2977	s:buttons/p:buttoned/i:buttoning/d:buttoned/3:buttons
translate	træns'leit		vt. 翻译, 解释, 转化, 转变为, 调动\nvi. 翻译, 被译\n[计] 转换	zk gk cet4 cet6 ky	bnc:3281	d:translated/i:translating/3:translates/p:translated
menu	'menju:		n. 菜单, (功能)选择单\n[计] 菜单	zk gk toefl	bnc:3553	s:menus
valid	'vælid		a. 有确实根据的, 有法律效力的, 正当的, 正确的\n[经] 有效的	gk cet4 cet6 ky toefl	bnc:3211	
translation	træns'leiʃәn		n. 翻译, 译文, 转化, 调任, 平移, 转译\n[计] 转换	gk cet4 cet6 ky toefl	bnc:3982	s:translations
thread	θred		n. 线, 丝, 纤维, 线索\nvt. 穿线于, 穿过, 通过, 用线穿成\nvi. 穿过\n[计] 线索, 线程	zk gk cet4 cet6 ky toefl gre	bnc:5022	s:threads/p:threaded/i:threading/d:threaded/3:threads
these	ði:z		pron. 这些	zk gk	bnc:76	
those	ðәuz		pron. 那些	zk gk	bnc:100	
setting	'setiŋ		n. 环境, 背景, 布景, 镶嵌, 调整, 沉落, 一副餐具\n[计] 设置	cet4 cet6 ky toefl ielts	bnc:2197	0:set/1:i/s:settings/i:setting
variable	'vєәriәbl		n. 易变的事物, 变数, 可变物, 变量\na. 可变的, 不定的, 易变的, 变量的\n[计] 变量	cet4 cet6 ky toefl ielts	bnc:2367	s:variables
filter	'filtә		n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器\nvt. 过滤, 渗透, 走漏\nvi. 滤过, 渗入\n[计] 过滤器, 筛选	cet4 cet6 ky toefl ielts gre	bnc:3576	s:filters/d:filtered/i:filtering/3:filters/p:filtered
update	ʌp'deit		vt. 更新, 使现代化\nn. 更新\n[计] 更新	cet6 ky ielts	bnc:3884	d:updated/i:updating/s:updates/p:updated/3:updates
default	di'fɒ:lt		n. 违约, 不履行责任, 缺席, 默认值\nv. 疏怠职责, 缺席, 拖欠, 默认\n[计] 默认; 默认值; 缺省值	cet6 toefl ielts gre	bnc:5836	s:defaults/p:defaulted/d:defaulted/i:defaulting/3:defaults
delete	di'li:t		vt. 删除\n[计] 删除	gk cet4 ky toefl ielts	bnc:5794	d:deleted/i:deleting/3:deletes/p:deleted
paste	peist		n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击\nvt. 用浆糊粘, 张贴, 狠狠地打\n[计] 粘贴	cet4 cet6 ky	bnc:8942	d:pasted/s:pastes/p:pasted/i:pasting/3:pastes
cache	kæʃ		n. 隐藏所, 隐藏的粮食或物资, 贮藏物, 高速缓冲存储器\nvt. 隐藏, 窖藏\n[计] 高速缓冲存储器, 高速缓冲	gre	bnc:10655	i:cacheing/p:cached/3:caches/d:cached/s:caches
invalid	in'vælid		n. 病人, 残废者\na. 有病的, 无效的	cet6 ky toefl ielts	bnc:7986	s:invalids/i:invaliding/p:invalided/3:invalids/d:invalided
unavailable	.ʌnә'veilәbl		a. 得不到的, 不能利用的, 无用的\n[化] 不可得的; 无效的; 不能利用的		bnc:9593	s:unavailables
timer	'taimә		n. 计时员, 计时器\n[计] 计时器		bnc:12427	s:timers
online			[计] 联机	ielts	bnc:9396	
null	nʌl		a. 无效力的, 无效的, 无价值的\nn. 零, 空, 零位\n[计] 空	toefl ielts	bnc:12712	i:nulling/d:nulled/p:nulled/s:nulls/3:nulls
provider	prә'vaidә		n. 供应者, 供养人, 伙食承办人\n[计] 提供器		bnc:5159	s:providers
protected			a. 受保护的		bnc:7597	0:protect/1:dp/d:protected/p:protected
parse	pɑ:s		vt. 从语法上分析\n[计] 分列	gre	bnc:28472	s:parses/d:parsed/i:parsing/p:parsed/3:parses
are	ɑ:		be的现在时复数或第二人称单数	gk		s:ares
endpoint	'end.pɔint		n. 端点；末端, 终结点		bnc:44096	s:endpoints
is	iz		be的现在式第三人称\n[计] 加下标次序, 信息系统, 国际标准, 中间系统		bnc:24648	0:be/1:3
boolean			[计] 布尔的, 逻辑的, 布尔型		bnc:27921	s:booleans
api			[计] 应用程序接口, 自动优先中断\n[经] 美国石油协会		bnc:46003	s:api/0:api/1:s
has	hæz		have的第三人称单数现在式			1:3/0:have
the	ðә		art. 那	zk gk	bnc:1	
of	ɒv		prep. 的, 属于	zk gk	bnc:3	
a	ei		第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步	zk gk	bnc:5	
to	tu:		prep. 到, 向, 趋于\nadv. 向前	zk gk	bnc:7	
it	it		pron. 它\n[计] 信息论, 输入终端, 智能终端, 内捕获	zk gk	bnc:9	
he	hi:		pron. 他\nn. 男孩, 男人, 雄性动物	zk gk	bnc:11	
you	ju:		pron. 你, 你们	zk gk	bnc:15	
with	wið		prep. 和...在一起, 以, 由于	zk gk	bnc:16	
on	ɒn		prep. 在...之上\nadv. ...上去\na. 正起作用的\n[计] 打开	zk gk ielts	bnc:17	
do	du:		v. 做, 进行, 完成	zk gk	bnc:19	i:doing/p:did/3:does/d:done
they	ðei		pron. 他们, 它们	zk gk	bnc:18	
at	æt		prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票	zk gk	bnc:22	
but	bʌt		prep. 除了\nconj. 但是\nadv. 仅仅	zk gk	bnc:24	
by	bai		prep. 被, 经, 由, 在...之旁\nadv. 经过, 在近处	zk gk	bnc:20	
his	hiz		pron. 他的\n[化] 组氨酸	zk gk	bnc:25	
we	wi:		pron. 我们	zk gk	bnc:26	
say	sei		vt. 说, 讲, 念, 说明, 指明\nvi. 说, 讲\nn. 意见, 发言权	zk gk ielts	bnc:32	p:said/3:says/d:said/i:saying
she	ʃi:		pron. 她	zk gk	bnc:21	
from	frɒm		prep. 从, 来自, 根据	zk gk	bnc:27	
as	æz		adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统	zk gk ielts	bnc:33	
their	ðєә		pron. 他们的	zk gk	bnc:36	
what	hwɒt		pron. 什么\ninterj. 怎么, 多么\na. 什么的\nadv. 到什么程度	zk gk	bnc:38	
would	wud		aux. 将, 愿意	zk gk	bnc:34	
go	gou		vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下\nvt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)\nn. 去, 尝试, 进行	zk gk ielts	bnc:44	i:going/p:went/d:gone/3:goes
get	get		vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上\nvi. 到达, 成为, 变得\nn. (网球等)救球, 生殖, 幼兽\n[计] 取得指令, 获取文件	zk gk ielts	bnc:41	d:got/p:got/i:getting/3:gets
all	ɒ:l		a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部	zk gk ielts	bnc:39	
who	hu:		pron. 谁	zk gk	bnc:45	
her	hә:		pron. 她的, 她	zk gk	bnc:42	i:hering
which	hwitʃ		pron. 哪一个, 那一个	zk gk	bnc:28	
there	ðєә		adv. 在那里	zk gk	bnc:37	
one	wʌn		n. 一(个)\npron. 一, 任何人\nnum. 一, 一个\na. 一致的, 完整的	zk gk ielts	bnc:46	s:ones
time	taim		n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间\nvt. 测定...的时间, 记录...的时间, 计时, 定时\na. 时间的, 记时的, 定时的, 定期的, 分期的\n[计] DOS内部命令:用于显示或设定系统的时间	zk gk ielts	bnc:50	s:times/d:timed/i:timing/p:timed/3:times
my	mai		pron. 我的\n[医] 迈尔(热容单位)	zk gk	bnc:61	
about	ә'baut		prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围	zk gk	bnc:63	
year	jiә		n. 年, 年度, 年龄\n[经] 年度	zk gk	bnc:56	s:years
when	hwen		conj. 当...的时候\nadv. 何时, 什么时候\npron. 什么时侯\nn. 时间	zk gk	bnc:54	
some	sʌm		pron. 一些, 一部分, 若干\nadv. 大约\na. 一些的, 少许的, 某一的	zk gk	bnc:53	
see	si:		vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意\nvi. 看, 观看, 注意, 知道, 考虑\nn. 主教的职位	zk gk	bnc:47	d:seen/p:saw/i:seeing/3:sees
think	θiŋk		vt. 想, 考虑, 想起, 想像, 打算, 认为\nvi. 思考, 料想\nn. 想法\na. 思想的	zk gk	bnc:64	p:thought/d:thought/i:thinking/3:thinks
into	'intu:		prep. 进入...之内, 朝..., 深入...之中, 成为...状况	zk gk	bnc:57	
could	kud		aux. 可以, 能	zk	bnc:55	
out	aut		a. 外面的, 熄灭的, 结束的\nadv. 在外, 熄灭, 出现\nprep. 出自, 离去, 向	zk gk	bnc:62	i:outing/p:outed/3:outs/d:outed
come	kʌm		vi. 过来, 来, 到达, 出现, 开始\ninterj. 喂	zk gk ielts	bnc:65	p:came/i:coming/3:comes/d:come/0:come/1:d
your	juә		pron. 你的, 你们的	zk gk	bnc:66	
its	its		pron. 它的	zk gk	bnc:58	
then	ðen		adv. 然后, 当时\nconj. 然后, 当时\nn. 那时	zk gk	bnc:59	
people	'pi:pl		n. 人, 人民, 民族, 平民\nvt. 使住满人, 居住于	zk gk	bnc:75	s:peoples/i:peopling/p:peopled/3:peoples/d:peopled
now	nau		adv. 现在, 刚才, 目前\nn. 现在\na. 现在的\nconj. 由于	zk gk	bnc:67	
other	'ʌðә		a. 其他的, 另外的, 从前的\npron. 其他的, 他人, 另外一个	zk gk	bnc:69	s:others
more	mɒ:		n. 更多\na. 多的, 程度较大的, 更大的\nadv. 多, 更多, 进一步\n[计] DOS外部命令:显示满屏后自动暂停, 并显示:"--More--", 按任意键继续	zk	bnc:74	
no	nәu		n. 不, 拒绝, 否决票\na. 没有, 不是, 绝非\nadv. 不	zk gk	bnc:68	
like	laik		a. 相似的, 同样的\nvt. 喜欢, 愿意, 想\nvi. 喜欢, 希望\nn. 爱好, 同样的人(或物)\nprep. 象, 如同\nadv. 可能	zk gk	bnc:88	p:liked/3:likes/d:liked/s:likes/i:liking
than	ðæn		conj. 比, 除...外\nprep. 比	zk gk	bnc:89	
